image,class_id,class_name,confidence,x0,y0,x1,y1,width,height
05863.jpg,19,windmill,0.8915,290,588,387,675,97,86
05863.jpg,19,windmill,0.7901,421,126,511,168,89,42
05864.jpg,4,bridge,0.7635,165,35,512,566,346,530
05864.jpg,4,bridge,0.2541,289,82,628,631,338,548
05865.jpg,18,vehicle,0.9511,4,113,49,160,44,46
05865.jpg,18,vehicle,0.8442,38,353,55,391,16,38
05865.jpg,3,basketballcourt,0.8152,328,209,507,551,179,341
05865.jpg,3,basketballcourt,0.7666,124,214,307,546,183,331
05865.jpg,3,basketballcourt,0.7526,535,207,717,532,182,325
05865.jpg,18,vehicle,0.7481,293,649,338,665,44,15
05865.jpg,16,tenniscourt,0.5308,125,684,247,795,121,111
05865.jpg,18,vehicle,0.273,39,515,54,554,14,38
05866.jpg,12,overpass,0.6004,85,414,346,478,261,64
05867.jpg,12,overpass,0.5203,236,364,692,490,455,125
05867.jpg,18,vehicle,0.304,786,514,800,539,13,24
05868.jpg,19,windmill,0.7694,586,513,617,565,31,52
05868.jpg,19,windmill,0.6243,149,224,176,282,27,58
05869.jpg,16,tenniscourt,0.939,74,734,94,775,19,41
05869.jpg,16,tenniscourt,0.9354,43,728,69,771,26,42
05869.jpg,16,tenniscourt,0.8276,357,589,387,664,30,74
05869.jpg,16,tenniscourt,0.7236,98,557,136,622,37,65
05869.jpg,14,stadium,0.5757,266,258,466,565,199,306
05869.jpg,16,tenniscourt,0.4965,109,494,150,540,40,46
05869.jpg,2,baseballfield,0.4225,1,0,107,71,106,71
05869.jpg,16,tenniscourt,0.4159,56,732,84,772,27,40
05869.jpg,16,tenniscourt,0.4056,101,736,125,778,24,42
05869.jpg,16,tenniscourt,0.3611,329,586,364,650,34,64
05869.jpg,18,vehicle,0.2696,151,155,158,177,6,21
05870.jpg,3,basketballcourt,0.8587,458,372,626,733,167,361
05870.jpg,18,vehicle,0.8546,152,151,173,207,21,55
05870.jpg,18,vehicle,0.8514,166,464,186,519,19,54
05870.jpg,18,vehicle,0.8269,149,80,174,140,24,60
05870.jpg,18,vehicle,0.815,166,371,189,439,23,68
05870.jpg,3,basketballcourt,0.5984,464,36,589,154,124,117
05870.jpg,3,basketballcourt,0.544,431,81,603,397,171,315
05870.jpg,3,basketballcourt,0.3847,464,372,621,492,157,120
05871.jpg,17,trainstation,0.7084,301,363,508,466,206,103
05871.jpg,18,vehicle,0.6726,112,275,119,285,6,10
05871.jpg,18,vehicle,0.5915,35,554,44,567,9,12
05871.jpg,17,trainstation,0.5304,4,303,159,418,155,115
05871.jpg,17,trainstation,0.4605,0,290,118,380,118,90
05871.jpg,17,trainstation,0.4528,374,364,613,449,239,85
05871.jpg,18,vehicle,0.4496,39,554,51,567,11,13
05871.jpg,18,vehicle,0.4116,94,285,101,293,7,8
05871.jpg,18,vehicle,0.3813,25,71,31,82,6,11
05871.jpg,17,trainstation,0.3632,46,334,308,446,262,111
05871.jpg,18,vehicle,0.3521,143,446,155,453,12,7
05871.jpg,17,trainstation,0.3459,133,358,353,439,219,81
05871.jpg,17,trainstation,0.3091,200,373,403,462,203,88
05871.jpg,18,vehicle,0.3023,427,530,439,536,11,6
05871.jpg,18,vehicle,0.2952,686,287,696,296,9,9
05871.jpg,18,vehicle,0.2937,27,522,36,536,8,14
05871.jpg,18,vehicle,0.2924,47,551,60,566,13,15
05871.jpg,18,vehicle,0.2905,84,533,98,544,13,11
05872.jpg,8,expressway-toll-station,0.7436,255,412,419,544,163,131
05872.jpg,18,vehicle,0.4998,550,733,567,750,16,16
05872.jpg,18,vehicle,0.3882,410,690,454,727,43,36
05872.jpg,18,vehicle,0.3593,523,765,541,779,17,13
05873.jpg,16,tenniscourt,0.9533,311,143,408,310,96,166
05873.jpg,16,tenniscourt,0.7813,549,547,631,680,82,132
05874.jpg,17,trainstation,0.6879,481,510,590,640,109,130
05874.jpg,17,trainstation,0.5731,390,416,555,572,165,156
05874.jpg,17,trainstation,0.5563,306,263,419,369,112,106
05874.jpg,17,trainstation,0.4644,290,270,449,449,158,179
05874.jpg,17,trainstation,0.3867,499,534,624,671,124,136
05874.jpg,17,trainstation,0.3296,293,244,399,333,106,88
05874.jpg,17,trainstation,0.2857,325,297,534,562,208,265
05874.jpg,18,vehicle,0.2536,311,619,318,628,7,9
05875.jpg,18,vehicle,0.9017,744,545,799,564,54,19
05875.jpg,18,vehicle,0.8836,658,628,726,649,68,21
05875.jpg,18,vehicle,0.8792,448,530,499,593,50,63
05875.jpg,18,vehicle,0.879,656,572,724,593,67,21
05875.jpg,18,vehicle,0.7901,168,481,198,521,29,39
05875.jpg,18,vehicle,0.7702,655,684,725,702,70,18
05875.jpg,18,vehicle,0.7398,193,544,220,584,26,39
05875.jpg,18,vehicle,0.7294,647,516,720,534,72,18
05875.jpg,18,vehicle,0.4736,402,463,441,477,39,13
05875.jpg,18,vehicle,0.4219,143,440,169,472,26,31
05875.jpg,18,vehicle,0.2689,790,463,800,501,9,37
05875.jpg,18,vehicle,0.2675,71,0,129,58,58,58
05877.jpg,2,baseballfield,0.6114,26,3,122,90,95,87
05877.jpg,17,trainstation,0.3019,160,197,253,660,92,462
05879.jpg,1,airport,0.2973,1,2,238,305,236,303
05880.jpg,13,ship,0.917,256,257,328,284,71,26
05880.jpg,13,ship,0.9128,287,52,402,91,115,38
05880.jpg,13,ship,0.8829,265,411,323,432,58,20
05880.jpg,13,ship,0.8792,60,434,123,457,62,23
05880.jpg,13,ship,0.8781,270,322,329,342,58,20
05880.jpg,13,ship,0.8767,236,535,313,563,77,27
05880.jpg,13,ship,0.8714,270,445,313,466,42,20
05880.jpg,13,ship,0.8704,58,472,124,495,65,22
05880.jpg,13,ship,0.8566,78,229,141,253,63,23
05880.jpg,13,ship,0.8564,73,86,165,117,91,30
05880.jpg,13,ship,0.8527,282,200,337,219,54,18
05880.jpg,13,ship,0.8477,277,132,345,160,68,28
05880.jpg,13,ship,0.8409,260,474,317,495,57,21
05880.jpg,13,ship,0.8373,71,298,134,321,62,22
05880.jpg,13,ship,0.8321,78,161,142,185,64,24
05880.jpg,13,ship,0.832,282,167,339,188,56,20
05880.jpg,13,ship,0.8312,80,197,134,219,53,22
05880.jpg,13,ship,0.8272,72,334,130,358,58,24
05880.jpg,13,ship,0.8251,280,230,333,251,52,21
05880.jpg,13,ship,0.8198,278,297,334,319,55,22
05880.jpg,13,ship,0.8155,270,354,326,376,56,22
05880.jpg,13,ship,0.7865,434,392,462,474,27,82
05880.jpg,13,ship,0.7613,250,506,310,527,60,21
05880.jpg,13,ship,0.7115,68,370,143,398,75,27
05880.jpg,13,ship,0.5423,628,491,672,615,43,123
05880.jpg,13,ship,0.4944,423,489,479,515,56,26
05880.jpg,13,ship,0.3722,63,346,140,421,77,74
05880.jpg,11,harbor,0.3041,20,0,150,617,130,617
05881.jpg,1,airport,0.2604,209,229,653,704,444,475
05882.jpg,19,windmill,0.7495,234,522,287,607,52,85
05882.jpg,19,windmill,0.7405,503,152,562,231,58,78
