image,class_id,class_name,confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_w,bbox_h
0000001_02999_d_0000005.jpg,3,car,0.7457,948,592,1010,683,62,91
0000001_02999_d_0000005.jpg,3,car,0.6983,870,569,926,663,55,94
0000001_02999_d_0000005.jpg,0,pedestrian,0.6284,617,216,629,244,11,28
0000001_02999_d_0000005.jpg,3,car,0.606,751,322,827,380,75,57
0000001_02999_d_0000005.jpg,0,pedestrian,0.5528,580,450,595,489,15,38
0000001_02999_d_0000005.jpg,0,pedestrian,0.5356,634,214,647,244,12,30
0000001_02999_d_0000005.jpg,3,car,0.5338,882,706,942,811,60,105
0000001_02999_d_0000005.jpg,3,car,0.4981,606,361,705,412,99,50
0000001_02999_d_0000005.jpg,3,car,0.4186,770,289,806,329,36,40
0000001_02999_d_0000005.jpg,3,car,0.4126,783,228,823,289,39,61
0000001_02999_d_0000005.jpg,3,car,0.4076,785,183,810,221,24,37
0000001_02999_d_0000005.jpg,9,motor,0.3722,459,523,501,551,42,27
0000001_02999_d_0000005.jpg,1,people,0.3538,880,218,891,241,11,22
0000001_02999_d_0000005.jpg,1,people,0.3511,864,250,878,272,13,21
0000001_02999_d_0000005.jpg,1,people,0.3431,868,406,881,435,12,28
0000001_02999_d_0000005.jpg,9,motor,0.3341,535,444,572,470,36,25
0000001_02999_d_0000005.jpg,9,motor,0.3332,491,454,528,482,36,28
0000001_02999_d_0000005.jpg,3,car,0.3285,805,22,830,51,25,29
0000001_02999_d_0000005.jpg,1,people,0.318,864,317,876,347,12,30
0000001_02999_d_0000005.jpg,9,motor,0.3152,550,293,588,315,38,22
0000001_02999_d_0000005.jpg,1,people,0.3097,861,203,873,225,12,21
0000001_02999_d_0000005.jpg,9,motor,0.3019,814,181,825,204,11,23
0000001_02999_d_0000005.jpg,1,people,0.2964,936,246,949,272,12,25
0000001_02999_d_0000005.jpg,9,motor,0.2958,655,593,704,618,48,25
0000001_02999_d_0000005.jpg,9,motor,0.2934,660,463,703,493,43,30
0000001_02999_d_0000005.jpg,1,people,0.2881,972,792,996,840,24,48
0000001_02999_d_0000005.jpg,9,motor,0.2858,567,717,623,750,55,32
0000001_02999_d_0000005.jpg,9,motor,0.2841,736,505,774,532,37,27
0000001_02999_d_0000005.jpg,9,motor,0.283,444,548,500,595,55,46
0000001_02999_d_0000005.jpg,3,car,0.2778,650,83,669,107,18,24
0000001_02999_d_0000005.jpg,3,car,0.2757,800,46,825,76,24,29
0000001_02999_d_0000005.jpg,9,motor,0.272,880,220,892,249,11,28
0000001_02999_d_0000005.jpg,9,motor,0.2671,973,793,995,844,21,50
0000001_02999_d_0000005.jpg,9,motor,0.2659,866,264,879,288,13,23
0000001_02999_d_0000005.jpg,9,motor,0.2656,590,549,641,577,50,28
0000001_02999_d_0000005.jpg,1,people,0.265,848,251,859,276,10,24
0000001_02999_d_0000005.jpg,9,motor,0.2525,556,595,600,626,44,31
0000001_02999_d_0000005.jpg,9,motor,0.2509,861,212,872,237,11,24
0000001_03499_d_0000006.jpg,3,car,0.7087,946,352,990,421,44,68
0000001_03499_d_0000006.jpg,3,car,0.6414,1039,161,1122,193,82,32
0000001_03499_d_0000006.jpg,3,car,0.6122,1013,305,1056,355,42,50
0000001_03499_d_0000006.jpg,3,car,0.5879,1149,154,1218,185,69,31
0000001_03499_d_0000006.jpg,3,car,0.5748,242,938,356,1076,113,137
0000001_03499_d_0000006.jpg,3,car,0.5686,845,647,902,749,56,101
0000001_03499_d_0000006.jpg,0,pedestrian,0.4782,1029,220,1041,251,12,30
0000001_03499_d_0000006.jpg,3,car,0.4669,1052,578,1112,656,59,77
0000001_03499_d_0000006.jpg,3,car,0.456,741,416,823,485,81,68
0000001_03499_d_0000006.jpg,3,car,0.4455,1053,990,1139,1080,86,89
0000001_03499_d_0000006.jpg,0,pedestrian,0.4387,612,1013,630,1043,18,30
0000001_03499_d_0000006.jpg,3,car,0.4285,1022,65,1076,98,53,32
0000001_03499_d_0000006.jpg,0,pedestrian,0.4233,868,357,881,391,12,34
0000001_03499_d_0000006.jpg,3,car,0.4023,814,902,899,1070,84,168
0000001_03499_d_0000006.jpg,3,car,0.3759,1249,165,1318,197,68,31
0000001_03499_d_0000006.jpg,0,pedestrian,0.3754,1088,220,1100,249,12,29
0000001_03499_d_0000006.jpg,3,car,0.371,912,227,951,289,39,61
0000001_03499_d_0000006.jpg,0,pedestrian,0.3365,1090,79,1101,104,10,25
0000001_03499_d_0000006.jpg,0,pedestrian,0.336,1046,223,1060,251,14,28
0000001_03499_d_0000006.jpg,1,people,0.3281,1019,360,1036,390,16,30
0000001_03499_d_0000006.jpg,3,car,0.3269,828,766,888,882,60,116
0000001_03499_d_0000006.jpg,3,car,0.3191,127,904,240,1062,113,158
0000001_03499_d_0000006.jpg,9,motor,0.3175,877,592,904,635,26,43
0000001_03499_d_0000006.jpg,1,people,0.3153,1093,364,1108,396,15,31
0000001_03499_d_0000006.jpg,9,motor,0.308,1018,364,1036,393,18,28
0000001_03499_d_0000006.jpg,1,people,0.3047,940,843,963,900,22,56
0000001_03499_d_0000006.jpg,9,motor,0.2963,911,133,931,154,20,21
0000001_03499_d_0000006.jpg,0,pedestrian,0.2886,975,67,985,92,10,24
0000001_03499_d_0000006.jpg,1,people,0.2858,1064,369,1079,398,15,28
0000001_03499_d_0000006.jpg,3,car,0.2751,735,471,821,544,85,73
0000001_03499_d_0000006.jpg,0,pedestrian,0.2669,1064,110,1077,134,12,23
0000001_03499_d_0000006.jpg,9,motor,0.2641,1093,365,1108,397,15,32
